l,n, 0.1
l,o, 8.5
l,p, 0.2
l,r, 0.6
l,s, 0.3
l,t, 1.1
l,u, 2.1
l,v, 0.7
l,w, 1.2
l,y, 0.1
m,a, 5.3
m,b, 2.5
m,e, 9.5
m,f, 0.2
m,i, 5.0
m,l, 0.1
m,m, 1.8
m,n, 0.1
m,o, 3.7
m,p, 4.6
m,s, 1.1
m,u, 0.5
m,y, 0.2
n,a, 4.2
n,b, 0.1
n,c, 8.7
n,d, 8.2
n,e, 7.0
n,f, 1.3
n,g, 3.5
n,h, 0.2
n,i, 6.9
n,j, 0.3
n,k, 0.5
n,l, 1.3
n,m, 0.4
n,n, 2.2
n,o, 4.4
n,p, 0.1
n,q, 0.3
n,r, 0.1
n,s, 6.4
n,t, 12.5
n,u, 2.9
n,v, 1.0
n,w, 0.2
n,x, 0.1
n,y, 1.1
n,z, 0.1
o,a, 1.1
o,b, 1.4
o,c, 2.5
o,d, 1.9
o,e, 0.1
o,f, 0.5
o,g, 1.4
o,h, 0.1
o,i, 3.8
o,j, 0.1
o,k, 0.7
o,l, 5.6
o,m, 10.4
o,n, 16.2
o,o, 4.6
o,p, 2.7
o,r, 15.0
o,s, 7.8
o,t, 6.6
o,u, 37.7
o,v, 2.8
o,w, 4.1
o,x, 0.1
o,y, 0.4
p,a, 2.5
p,e, 6.8
p,h, 0.7
p,i, 1.8
p,l, 4.8
p,m, 0.1
p,o, 4.0
p,p, 4.4
p,r, 2.1
p,s, 0.2
p,t, 0.8
p,u, 0.5
p,y, 0.7
q,u, 1.7
r,a, 12.0
r,b, 0.4
r,c, 2.5
r,d, 2.2
r,e, 19.7
r,f, 0.7
r,g, 1.8
r,h, 0.8
r,i, 13.3
r,k, 0.4
r,l, 1.4
r,m, 1.5
r,n, 3.0
r,o, 15.3
r,p, 0.9
r,r, 4.4
r,s, 6.5
r,t, 6.0
r,u, 2.1
r,v, 1.9
r,w, 0.4
r,y, 1.0
s,a, 2.0
s,b, 0.6
s,c, 1.5
s,e, 6.4
s,f, 0.4
s,g, 0.1
s,h, 1.2
s,i, 5.8
s,k, 0.1
s,l, 0.8
s,m, 0.3
s,n, 0.1
s,o, 2.6
s,p, 2.0
s,q, 0.1
s,s, 4.2
s,t, 9.2
s,u, 1.8
s,w, 0.8
s,y, 0.2
t,a, 9.5
t,c, 1.4
t,e, 16.9
t,f, 0.3
t,h, 16.7
t,i, 20.1
t,l, 6.2
t,m, 0.4
t,n, 0.3
t,o, 5.5
t,r, 6.5
t,s, 0.5
t,t, 8.4
t,u, 5.4
t,w, 0.7
t,y, 0.1
u,a, 2.3
u,b, 2.0
u,c, 2.6
u,d, 2.2
u,e, 1.7
u,f, 0.6
u,g, 7.2
u,i, 3.2
u,l, 12.0
u,m, 2.5
u,n, 9.0
u,o, 0.3
u,p, 1.8
u,r, 11.0
u,s, 8.8
u,t, 4.1
u,x, 0.1
u,z, 0.1
v,a, 1.3
v,e, 12.5
v,i, 2.7
v,o, 1.0
w,a, 3.0
w,d, 0.1
w,e, 3.9
w,f, 0.1
w,h, 0.4
w,i, 0.8
w,l, 0.2
w,n, 0.1
w,o, 0.3
w,r, 0.7
w,s, 0.1
x,a, 0.4
x,c, 0.8
x,e, 0.3
x,h, 0.1
x,i, 0.3
x,p, 1.8
x,t, 0.6
x,u, 0.1
y,a, 0.3
y,b, 0.1
y,c, 0.1
y,e, 0.2
y,h, 0.1
y,i, 0.1
y,l, 0.2
y,m, 0.3
y,n, 0.1
y,o, 0.3
y,p, 0.1
y,r, 0.1
y,s, 1.4
y,t, 1.7
y,w, 0.2
z,a, 0.2
z,e, 0.1
z,i, 0.1
z,l, 0.1
z,y, 0.1
z,z, 0.1
